,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
L3MBTL1,0.302702,yes,no,no,no,no,iEVT,iEVT_L3MBTL1
ZNF397,0.1724,yes,no,no,no,no,iEVT,iEVT_ZNF397
NR2E3,0.002396,no,yes,no,no,no,iEVT,iEVT_NR2E3
ZNF182,0.022265,no,yes,no,no,no,iEVT,iEVT_ZNF182
ZNF835,0.000903,no,yes,no,no,no,iEVT,iEVT_ZNF835
ZNF507,0.116122,no,yes,no,no,no,iEVT,iEVT_ZNF507
ZNF266,0.045573,no,yes,no,no,no,iEVT,iEVT_ZNF266
PHF5A,0.101395,no,yes,no,no,no,iEVT,iEVT_PHF5A
HOMEZ,0.023739,no,yes,no,no,no,iEVT,iEVT_HOMEZ
ZBED1,0.06206,yes,no,no,no,no,iEVT,iEVT_ZBED1
ELMSAN1,0.176573,no,yes,no,no,no,iEVT,iEVT_ELMSAN1
TBP,0.099947,yes,no,no,no,no,iEVT,iEVT_TBP
ZNF550,0.027698,no,yes,no,no,no,iEVT,iEVT_ZNF550
KLF2,0.156447,yes,no,no,no,no,iEVT,iEVT_KLF2
RBPJ,0.581478,yes,no,no,no,no,iEVT,iEVT_RBPJ
ZKSCAN1,0.346395,yes,no,no,no,no,iEVT,iEVT_ZKSCAN1
DBP,0.004691,no,yes,no,no,no,iEVT,iEVT_DBP
ZSCAN29,0.055372,no,yes,no,no,no,iEVT,iEVT_ZSCAN29
ARID5A,0.0853,yes,no,no,no,no,iEVT,iEVT_ARID5A
SMARCC1,1.064559,no,yes,yes,no,no,iEVT,iEVT_SMARCC1
FOXJ3,1.796082,yes,yes,no,no,yes,iEVT,iEVT_FOXJ3
ZNF277,0.260538,yes,yes,no,no,yes,iEVT,iEVT_ZNF277
ZKSCAN5,0.047584,no,yes,no,no,no,iEVT,iEVT_ZKSCAN5
LRRFIP2,0.658246,yes,yes,no,no,yes,iEVT,iEVT_LRRFIP2
BHLHE23,not_enough_cells_expr_limma,no,yes,no,yes,no,iEVT,iEVT_BHLHE23
MAX,0.325947,yes,yes,no,no,yes,iEVT,iEVT_MAX
STAT2,0.66932,yes,yes,no,no,yes,iEVT,iEVT_STAT2
ZBTB43,0.176359,yes,yes,no,no,yes,iEVT,iEVT_ZBTB43
EPAS1,2.739003,yes,no,no,no,no,iEVT,iEVT_EPAS1
ZNF142,0.040057,no,yes,no,no,no,iEVT,iEVT_ZNF142
ZNF532,0.224676,yes,yes,no,no,yes,iEVT,iEVT_ZNF532
ZNF354B,0.079784,no,yes,no,no,no,iEVT,iEVT_ZNF354B
STAT1,0.519779,yes,no,no,no,no,iEVT,iEVT_STAT1
ZNF766,0.101151,yes,yes,no,no,yes,iEVT,iEVT_ZNF766
ZNF689,0.012615,no,yes,no,no,no,iEVT,iEVT_ZNF689
ZNF629,0.011666,no,yes,no,no,no,iEVT,iEVT_ZNF629
ZNF283,0.029879,no,yes,no,no,no,iEVT,iEVT_ZNF283
ZNF234,0.033633,no,yes,no,no,no,iEVT,iEVT_ZNF234
ZNF615,0.031301,no,yes,no,no,no,iEVT,iEVT_ZNF615
ZXDA,0.002685,no,yes,no,no,no,iEVT,iEVT_ZXDA
ARID1A,0.497906,no,yes,no,no,no,iEVT,iEVT_ARID1A
YBX1,0.818839,yes,yes,no,no,yes,iEVT,iEVT_YBX1
PRRX2,0.003878,no,yes,no,no,no,iEVT,iEVT_PRRX2
ZNF143,0.129165,no,yes,no,no,no,iEVT,iEVT_ZNF143
ZNF566,0.045193,no,yes,no,no,no,iEVT,iEVT_ZNF566
ZNF567,0.130848,no,yes,no,no,no,iEVT,iEVT_ZNF567
GCM1,1.533418,yes,no,no,no,no,iEVT,iEVT_GCM1
ZNF248,0.215348,yes,yes,no,no,yes,iEVT,iEVT_ZNF248
ZNF169,0.072329,no,yes,no,no,no,iEVT,iEVT_ZNF169
ZNF146,0.232333,no,yes,no,no,no,iEVT,iEVT_ZNF146
ZNF85,0.034988,no,yes,no,no,no,iEVT,iEVT_ZNF85
TBX1,0.125241,yes,no,yes,no,yes,iEVT,iEVT_TBX1
ZNF808,0.077348,no,yes,no,no,no,iEVT,iEVT_ZNF808
ZNF846,0.129985,yes,no,no,no,no,iEVT,iEVT_ZNF846
NFIX,0.011535,no,yes,yes,no,no,iEVT,iEVT_NFIX
ZFP92,0.000528,no,yes,no,no,no,iEVT,iEVT_ZFP92
CUX1,2.406472,yes,no,no,no,no,iEVT,iEVT_CUX1
ZBTB1,0.301933,yes,no,no,no,no,iEVT,iEVT_ZBTB1
YY2,0.00329,no,yes,no,no,no,iEVT,iEVT_YY2
ZXDB,0.009511,no,yes,no,no,no,iEVT,iEVT_ZXDB
ZNF446,0.03293,no,yes,no,no,no,iEVT,iEVT_ZNF446
MYCL,0.109402,yes,no,no,no,no,iEVT,iEVT_MYCL
RFX7,0.228432,no,yes,no,no,no,iEVT,iEVT_RFX7
TSC22D1,1.993662,yes,no,no,no,no,iEVT,iEVT_TSC22D1
ZNF780B,0.065181,no,yes,no,no,no,iEVT,iEVT_ZNF780B
FOXO3,0.609625,yes,yes,no,no,yes,iEVT,iEVT_FOXO3
IKZF5,0.062192,no,yes,no,no,no,iEVT,iEVT_IKZF5
PRDM2,0.585777,yes,yes,no,no,yes,iEVT,iEVT_PRDM2
ZNF341,0.050553,no,yes,no,no,no,iEVT,iEVT_ZNF341
NFATC4,0.013439,yes,yes,no,no,yes,iEVT,iEVT_NFATC4
KAT7,0.09956,no,yes,no,no,no,iEVT,iEVT_KAT7
ZNF599,0.010761,no,yes,no,no,no,iEVT,iEVT_ZNF599
ZNF3,0.110679,yes,no,no,no,no,iEVT,iEVT_ZNF3
MGA,0.500926,yes,yes,yes,no,yes,iEVT,iEVT_MGA
KLF9,0.024619,no,yes,no,no,no,iEVT,iEVT_KLF9
IKZF2,0.285632,yes,no,no,no,no,iEVT,iEVT_IKZF2
ZBTB44,0.200667,no,yes,no,no,no,iEVT,iEVT_ZBTB44
SMAD3,1.07779,yes,no,no,no,no,iEVT,iEVT_SMAD3
NFKBIE,0.012583,no,yes,no,no,no,iEVT,iEVT_NFKBIE
ZNF251,0.18736,yes,no,no,no,no,iEVT,iEVT_ZNF251
HMG20B,0.295235,no,yes,no,no,no,iEVT,iEVT_HMG20B
JUNB,0.399563,yes,yes,yes,no,yes,iEVT,iEVT_JUNB
ZNF511,0.036285,no,yes,no,no,no,iEVT,iEVT_ZNF511
FOXK2,0.519925,yes,yes,no,no,yes,iEVT,iEVT_FOXK2
ZNF771,0.013738,no,yes,no,no,no,iEVT,iEVT_ZNF771
NFKBIL1,0.040335,no,yes,no,no,no,iEVT,iEVT_NFKBIL1
MLX,0.121448,yes,yes,no,no,yes,iEVT,iEVT_MLX
ZFHX3,0.961145,yes,yes,no,no,yes,iEVT,iEVT_ZFHX3
ZNF627,0.056164,no,yes,no,no,no,iEVT,iEVT_ZNF627
ZNF577,0.069691,no,yes,no,no,no,iEVT,iEVT_ZNF577
ZNF76,0.176961,yes,yes,no,no,yes,iEVT,iEVT_ZNF76
ZNF124,0.237735,no,yes,no,no,no,iEVT,iEVT_ZNF124
GTF3A,0.20032,yes,yes,no,no,yes,iEVT,iEVT_GTF3A
ZBTB38,0.441254,yes,yes,no,no,yes,iEVT,iEVT_ZBTB38
ZNF43,0.310931,yes,no,no,no,no,iEVT,iEVT_ZNF43
ZNF770,0.072202,no,yes,no,no,no,iEVT,iEVT_ZNF770
TOX4,0.212321,no,yes,no,no,no,iEVT,iEVT_TOX4
ZBTB46,0.071696,no,yes,no,no,no,iEVT,iEVT_ZBTB46
ZNF814,0.243008,yes,no,no,no,no,iEVT,iEVT_ZNF814
ZNF687,0.032601,no,yes,no,no,no,iEVT,iEVT_ZNF687
ZC3H6,0.157113,yes,yes,no,no,yes,iEVT,iEVT_ZC3H6
ZNF287,0.003219,no,yes,no,no,no,iEVT,iEVT_ZNF287
ZNF7,0.109321,yes,yes,no,no,yes,iEVT,iEVT_ZNF7
ZNF697,0.049706,no,yes,no,no,no,iEVT,iEVT_ZNF697
MYT1L,0.021017,yes,yes,no,no,yes,iEVT,iEVT_MYT1L
