,ME
MESP1,ME_1_early_inv_column
FOSL1,ME_1_early_inv_column
HOXB4,ME_1_early_inv_column
E2F7,ME_1_early_inv_column
TONSL,ME_1_early_inv_column
PHF5A,ME_1_early_inv_column
ZNF146,ME_1_early_inv_column
ZNF581,ME_1_early_inv_column
ZBTB24,ME_1_early_inv_column
POU4F1,ME_1_early_inv_column
ZNF574,ME_1_early_inv_column
ZNF880,ME_1_early_inv_column
ZNF559,ME_1_early_inv_column
TP53,ME_1_early_inv_column
TEAD4,ME_1_early_inv_column
PITX1,ME_1_early_inv_column
LYAR,ME_1_early_inv_column
HOMEZ,ME_1_early_inv_column
ZNF626,ME_1_early_inv_column
ZNF599,ME_1_early_inv_column
ZNF485,ME_1_early_inv_column
ZNF772,ME_1_early_inv_column
HOXA7,ME_1_early_inv_column
SOX9,ME_1_early_inv_column
CDC5L,ME_1_early_inv_column
ZNF770,ME_1_early_inv_column
NFKBIL1,ME_1_early_inv_column
TP63,ME_1_early_inv_column
CXXC1,ME_1_early_inv_column
SSRP1,ME_1_early_inv_column
SMARCE1,ME_1_early_inv_column
ZNF22,ME_1_early_inv_column
NR2F2,ME_1_early_inv_column
ZNF689,ME_1_early_inv_column
ZBED2,ME_1_early_inv_column
GTF3A,ME_1_early_inv_column
KAT8,ME_1_early_inv_column
TOX4,ME_1_early_inv_column
SOX15,ME_1_early_inv_column
E2F4,ME_1_early_inv_column
ZNF544,ME_1_early_inv_column
GRHL3,ME_1_early_inv_column
ZFP42,ME_1_early_inv_column
ZNF835,ME_1_early_inv_column
TFAM,ME_1_early_inv_column
ZNF343,ME_1_early_inv_column
ZC3H8,ME_1_early_inv_column
HMGA1,ME_1_early_inv_column
ZNF222,ME_1_early_inv_column
ZNF511,ME_1_early_inv_column
THAP3,ME_1_early_inv_column
JUN,ME_1_early_inv_column
TFEB,ME_1_early_inv_column
ZNF17,ME_1_early_inv_column
PEG3,ME_1_early_inv_column
ZBTB8B,ME_1_early_inv_column
NFE2L3,ME_1_early_inv_column
HSF1,ME_1_early_inv_column
ZNF691,ME_1_early_inv_column
ZIK1,ME_1_early_inv_column
SFPQ,ME_1_early_inv_column
IRF6,ME_1_early_inv_column
ID2,ME_1_early_inv_column
IRX4,ME_1_early_inv_column
ZNF524,ME_1_early_inv_column
TBPL1,ME_1_early_inv_column
TFDP1,ME_1_early_inv_column
FOXN1,ME_1_early_inv_column
POU2F3,ME_1_early_inv_column
FOXM1,ME_1_early_inv_column
TFAP4,ME_1_early_inv_column
DBP,ME_1_early_inv_column
NONO,ME_1_early_inv_column
ATF5,ME_1_early_inv_column
DNAJC2,ME_1_early_inv_column
ZBTB7C,ME_1_early_inv_column
POU3F1,ME_1_early_inv_column
E2F2,ME_1_early_inv_column
E2F5,ME_1_early_inv_column
NR4A1,ME_1_early_inv_column
ARID5B,ME_1_early_inv_column
MYC,ME_1_early_inv_column
ZNF816,ME_1_early_inv_column
ZNF579,ME_1_early_inv_column
ZNF585A,ME_2_inv_front
NR4A2,ME_2_inv_front
IRF1,ME_2_inv_front
ZNF8,ME_2_inv_front
ERG,ME_2_inv_front
PKNOX1,ME_2_inv_front
ZNF189,ME_2_inv_front
ZNF726,ME_2_inv_front
ZNF410,ME_2_inv_front
ATF4,ME_2_inv_front
ZNF506,ME_2_inv_front
ZBTB14,ME_2_inv_front
CSRNP1,ME_2_inv_front
ZNF404,ME_2_inv_front
ZNF135,ME_2_inv_front
ZBTB39,ME_2_inv_front
POU2F2,ME_2_inv_front
RBAK,ME_2_inv_front
ZNF768,ME_2_inv_front
HOXB3,ME_2_inv_front
JUNB,ME_2_inv_front
ZKSCAN2,ME_2_inv_front
ETS2,ME_2_inv_front
BHLHE40,ME_2_inv_front
EGR3,ME_2_inv_front
ATF3,ME_2_inv_front
ZXDB,ME_2_inv_front
BATF3,ME_2_inv_front
EGR1,ME_2_inv_front
JDP2,ME_2_inv_front
MAZ,ME_2_inv_front
ZNF358,ME_2_inv_front
TBX6,ME_2_inv_front
ZNF575,ME_2_inv_front
ZNF737,ME_2_inv_front
FOSL2,ME_2_inv_front
ZNF629,ME_2_inv_front
ZNF226,ME_2_inv_front
ZNF181,ME_2_inv_front
ZNF408,ME_2_inv_front
MEF2D,ME_3_artery_remodelling
PBX3,ME_3_artery_remodelling
ZNF10,ME_3_artery_remodelling
SNAPC4,ME_3_artery_remodelling
NRL,ME_3_artery_remodelling
ZNF317,ME_3_artery_remodelling
ZNF552,ME_3_artery_remodelling
ZBTB37,ME_3_artery_remodelling
ZNF493,ME_3_artery_remodelling
ZNF14,ME_3_artery_remodelling
ZNF789,ME_3_artery_remodelling
ZNF671,ME_3_artery_remodelling
SRF,ME_3_artery_remodelling
ZSCAN21,ME_3_artery_remodelling
ZNF844,ME_3_artery_remodelling
ZNF692,ME_3_artery_remodelling
GATA4,ME_3_artery_remodelling
ZNF260,ME_3_artery_remodelling
FOXD1,ME_3_artery_remodelling
