,ME
ZBED2,ME_1_early_inv_column
THAP3,ME_1_early_inv_column
ZFP69B,ME_1_early_inv_column
NFYB,ME_1_early_inv_column
THAP1,ME_1_early_inv_column
GTF3A,ME_1_early_inv_column
SMARCE1,ME_1_early_inv_column
YBX1,ME_1_early_inv_column
ZNF580,ME_1_early_inv_column
PHF5A,ME_1_early_inv_column
ZFP42,ME_1_early_inv_column
ZBTB24,ME_1_early_inv_column
GATA2,ME_1_early_inv_column
PEG3,ME_1_early_inv_column
FOSL1,ME_1_early_inv_column
CREB3,ME_1_early_inv_column
JUN,ME_1_early_inv_column
IRX4,ME_1_early_inv_column
SNAI1,ME_1_early_inv_column
MYOD1,ME_1_early_inv_column
ZNF524,ME_1_early_inv_column
TBPL1,ME_1_early_inv_column
FOXM1,ME_1_early_inv_column
ZNF146,ME_1_early_inv_column
E2F2,ME_1_early_inv_column
MYC,ME_1_early_inv_column
ZNF816,ME_1_early_inv_column
GRHL3,ME_1_early_inv_column
LYAR,ME_1_early_inv_column
DNAJC2,ME_1_early_inv_column
SOX9,ME_1_early_inv_column
ZNF581,ME_1_early_inv_column
TFAP4,ME_1_early_inv_column
TP53,ME_1_early_inv_column
ZNF487,ME_2_inv_front
EGR1,ME_2_inv_front
ZNF8,ME_2_inv_front
ARNT2,ME_2_inv_front
FOSL2,ME_2_inv_front
FOS,ME_2_inv_front
SNAI3,ME_2_inv_front
OSR2,ME_2_inv_front
KLF10,ME_2_inv_front
ZNF575,ME_2_inv_front
ZNF506,ME_2_inv_front
CSRNP1,ME_2_inv_front
ETS2,ME_2_inv_front
FOSB,ME_2_inv_front
RARA,ME_2_inv_front
ZNF268,ME_2_inv_front
JUNB,ME_2_inv_front
BCL3,ME_2_inv_front
BATF3,ME_2_inv_front
IRF1,ME_2_inv_front
JDP2,ME_2_inv_front
ATF4,ME_2_inv_front
ZNF333,ME_2_inv_front
ZNF281,ME_2_inv_front
KLF4,ME_2_inv_front
IRX3,ME_3_artery_remodelling
SMARCC1,ME_3_artery_remodelling
ZNF814,ME_3_artery_remodelling
MEF2D,ME_3_artery_remodelling
ZNF561,ME_3_artery_remodelling
ZNF124,ME_3_artery_remodelling
ZNF25,ME_3_artery_remodelling
ZNF585B,ME_3_artery_remodelling
ZNF562,ME_3_artery_remodelling
KLF9,ME_3_artery_remodelling
NRL,ME_3_artery_remodelling
ZNF699,ME_3_artery_remodelling
HES4,ME_3_artery_remodelling
ZNF569,ME_3_artery_remodelling
ZNF793,ME_3_artery_remodelling
HMGA2,ME_3_artery_remodelling
ZNF611,ME_3_artery_remodelling
ZNF787,ME_3_artery_remodelling
ZNF260,ME_3_artery_remodelling
ZNF142,ME_3_artery_remodelling
ZNF33A,ME_3_artery_remodelling
ZSCAN32,ME_3_artery_remodelling
ZNF571,ME_3_artery_remodelling
ATOH8,ME_3_artery_remodelling
LRRFIP2,ME_3_artery_remodelling
ID4,ME_3_artery_remodelling
ZNF121,ME_3_artery_remodelling
ZNF493,ME_3_artery_remodelling
ZNF431,ME_3_artery_remodelling
NFKBID,ME_3_artery_remodelling
ZNF780A,ME_3_artery_remodelling
TBX5,ME_3_artery_remodelling
ZNF484,ME_3_artery_remodelling
ZNF517,ME_4_fusion
SP4,ME_4_fusion
BNC1,ME_4_fusion
TSC22D3,ME_4_fusion
HAND2,ME_4_fusion
ZNF532,ME_4_fusion
MLXIP,ME_4_fusion
GLIS3,ME_4_fusion
KLF7,ME_4_fusion
HOXC4,ME_4_fusion
ZNF460,ME_4_fusion
BATF2,ME_4_fusion
ZNF239,ME_4_fusion
EBF2,ME_4_fusion
KLF16,ME_4_fusion
