,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
KLF3,0.20192924,0.32807294,0.19164781,0.30625835,0.13949247,0.12642634,0.056358535
MTA1,0.12848794,0.107192,0.07258624,0.08843347,0.060064837,0.17839085,0.07404811
ETV6,0.11952878,0.09407283,0.04935858,0.07239627,0.046283852,0.079728395,0.030210234
ISL1,0.02336128,0.020708004,0.0402562,0.03416612,0.019065449,0.016518949,0.0043406175
ZNF692,0.07286234,0.07543243,0.060155567,0.06673021,0.054019973,0.14675201,0.052547622
BARX2,0.0579258,0.24090238,0.09516846,0.20442149,0.03813848,0.0044924277,0.0078396285
ZNF257,0.01903087,0.026197698,0.030573918,0.021345798,0.017619472,0.04336957,0.018378675
ZNF341,0.018144421,0.021762269,0.017154861,0.01248248,0.008985758,0.025121717,0.0057683806
ARID4A,0.13242546,0.20124856,0.19274782,0.23367994,0.18130296,0.15019523,0.13570027
ZNF131,0.29979128,0.17423308,0.21403214,0.158677,0.17709562,0.34184703,0.15894724
USF1,0.053127334,0.05581284,0.034179196,0.061681136,0.054413576,0.14282893,0.06628476
PBX3,0.018402053,0.011974223,0.022031646,0.006841595,0.013784794,0.01194867,0.0105001
CEBPA,0.5330294,0.678241,0.47445887,0.81052035,0.35455132,0.5223216,0.27421647
ZNF827,0.08509991,0.051231023,0.02008951,0.024295866,0.017157592,0.040485915,0.0045705945
JDP2,0.047147643,0.08809542,0.07428116,0.06269861,0.04843103,0.05201563,0.049722455
NFATC3,0.26918504,0.21935523,0.13774583,0.1845384,0.099143244,0.13986018,0.073040985
SMARCA5,0.7309464,0.629098,0.6962049,0.58880055,0.52117693,0.8285674,0.45422775
STAT5B,0.08874035,0.052330885,0.022353098,0.03868774,0.012241983,0.024913546,0.007341223
FOSL1,0.09362051,0.063600734,0.055118106,0.06764759,0.034722224,0.025681667,0.021478504
MYBL1,0.011637359,0.008407449,0.01834813,0.0046615554,0.0032715863,0.0054439795,0.0008860838
BBX,0.9099102,0.7478848,0.7009406,0.73802894,0.5903999,0.5769163,0.56751615
IKZF4,0.05606227,0.032191608,0.028995741,0.027177086,0.016169611,0.023859967,0.011889823
ZFP14,0.04031525,0.045139607,0.02913486,0.03152886,0.017985286,0.018589467,0.008767733
ELF2,0.29358262,0.34992552,0.33443543,0.39125773,0.31207022,0.3535935,0.20478481
ZNF282,0.07233202,0.08536049,0.056213208,0.072314575,0.045684192,0.079610124,0.029023822
ETV5,0.35273397,0.06103737,0.107065864,0.07513791,0.14366621,0.14216651,0.1607302
ZNF525,0.08153292,0.09880166,0.06775066,0.12502234,0.044369817,0.039958373,0.014845724
E2F6,0.08549592,0.088206984,0.07284758,0.07581354,0.047399066,0.039763093,0.020902395
FOXN2,0.111258924,0.15506193,0.1603233,0.18074547,0.15439405,0.3056237,0.16161281
TET1,0.46015397,0.59019333,0.6867334,0.70409733,0.38742855,0.08960089,0.05593443
TFAP2A,0.9538542,1.0495585,1.0575876,1.2660097,1.0230154,0.8032587,0.5974107
ZNF253,0.032340303,0.042496722,0.0348515,0.03997312,0.029250257,0.0187122,0.033082377
RORA,0.01717314,0.03284543,0.014152176,0.054621965,0.008528761,0.01568518,0.0023380145
ZNF701,0.12026593,0.11953845,0.10917401,0.12961635,0.079845496,0.2165579,0.06835959
STAT5A,0.016375352,0.007424125,0.007531883,0.0072787865,0.012436704,0.028803855,0.021673001
ZNF577,0.024749676,0.04093315,0.036781903,0.038030162,0.020747773,0.04243486,0.0071664415
ZNF79,0.011275588,0.010287882,0.0042633596,0.011624127,0.0051382687,0.007611524,0.008368735
ZNF431,0.22488488,0.5093126,0.2531753,0.41258132,0.22299154,0.43365675,0.17668419
ATF2,0.11667377,0.14136313,0.14451143,0.19754806,0.14077824,0.26676527,0.083646595
KLF13,0.16925924,0.24541706,0.2706468,0.18929714,0.22521213,0.2605481,0.1532108
TCF25,1.0728651,0.97032094,1.0783666,1.0047935,1.0503458,1.2807279,1.0575341
ZNF761,0.102766626,0.13856278,0.06924895,0.16292648,0.067373656,0.14136457,0.039651807
ZNF652,0.27211502,0.2755409,0.29570162,0.34494472,0.30228746,0.35982296,0.25580886
JUN,1.6158922,0.8284247,0.25031188,0.6152356,0.19883528,0.07097665,0.04336448
FOXK2,0.18026473,0.17098258,0.15370214,0.17571127,0.13857023,0.22229487,0.1229598
PRDM2,0.30361062,0.26844618,0.25899515,0.27300817,0.2501903,0.48231032,0.22738643
ZNF641,0.0083177425,0.0031016013,0.0042212973,0.0039701154,0.014408053,0.040278252,0.024413848
HMGA1,1.2082883,0.5760182,0.39750004,0.17481865,0.18343636,0.18640235,0.49190143
PPARG,0.45495963,0.37724897,0.8792963,0.6645803,0.9298141,0.72758436,0.80779666
TFDP2,0.7267967,0.5301034,0.50086,0.37213534,0.34094083,0.43065932,0.68489295
ZNF790,0.0381868,0.03423906,0.034228534,0.032984074,0.025428502,0.03860998,0.03126466
ZNF836,0.015760418,0.033176184,0.033629958,0.05313811,0.025053518,0.013121707,0.02501172
ZNF84,0.038754586,0.045708053,0.029256111,0.038913365,0.021922503,0.033944335,0.028508496
ZNF600,0.08768083,0.12610161,0.07561753,0.10960611,0.055443004,0.098425426,0.05624021
GMEB1,0.12994891,0.1117814,0.12700197,0.08969692,0.08682083,0.07862026,0.07824243
FOSB,1.3499807,1.0172217,0.8919518,1.3240556,0.7659436,0.4337095,0.16839594
MAX,0.2295582,0.20312867,0.20488629,0.23752522,0.23101903,0.2818496,0.28480795
XBP1,0.6561091,0.98389673,1.2496893,1.3183366,1.2416898,0.9541073,1.013326
E2F4,0.42077824,0.25094736,0.31792992,0.18213546,0.2432818,0.37140548,0.22332565
KLF16,0.061028924,0.059362266,0.06112881,0.050078843,0.06525655,0.118756235,0.06439692
ZNF354B,0.048861902,0.043050375,0.038352057,0.045507424,0.030508995,0.04735676,0.019876782
GATAD1,0.34925482,0.33626172,0.28505665,0.31718504,0.18976553,0.20751697,0.12410895
ZNF121,0.12176675,0.121957734,0.10556367,0.09500421,0.08792844,0.25278333,0.15970841
HIF1A,0.39383516,0.38269657,0.6439175,0.41760302,0.55216694,0.9094783,0.41623935
ZNF85,0.058018304,0.07094237,0.11471683,0.043587793,0.040057745,0.026653802,0.034295052
GRHL1,0.56754047,0.7620632,0.7095097,0.85853016,0.609635,1.0165753,0.38416505
PAX8,0.010498363,0.009265718,0.013126594,0.00711298,0.010220149,0.015521004,0.025415208
ZBTB11,0.14792444,0.10556706,0.085892595,0.09389677,0.068456195,0.16213772,0.045263488
CREB1,0.21857084,0.19612065,0.21310648,0.19060123,0.19820192,0.27447924,0.13844419
FOSL2,0.18969293,0.5063202,0.5639406,0.77867097,0.43295997,0.389966,0.15936013
ZBTB1,0.10145542,0.10610389,0.11360215,0.12534182,0.13387294,0.20841989,0.10994059
ARNTL2,0.063816845,0.07249018,0.029799366,0.029578026,0.024864893,0.063246615,0.028948223
ZNF211,0.023459751,0.012255041,0.012480502,0.012479149,0.014713818,0.0368188,0.021942878
ZNF655,0.2599752,0.2869846,0.2199819,0.23790354,0.23737323,0.5817183,0.32115927
RFX2,0.027286423,0.043187406,0.024741113,0.03156791,0.012488342,0.01940157,0.008891216
HOXB3,0.015289148,0.01618916,0.008330764,0.017304778,0.008460724,0.039908398,0.003084497
ELF4,0.10274462,0.12616427,0.14526916,0.17076285,0.14438848,0.31305334,0.10125339
ZNF277,0.07973057,0.07539253,0.10325512,0.08891059,0.106909476,0.06796133,0.13046877
MTA3,0.32368043,0.27647847,0.31992972,0.25914043,0.2687723,0.33706492,0.2727437
ZNF138,0.07659429,0.066032186,0.06295379,0.061536398,0.04882578,0.047363024,0.051207803
HMG20A,0.12660925,0.10258928,0.07382896,0.08589014,0.064233206,0.07688659,0.050869502
CREB5,0.14320442,0.18732245,0.1776209,0.18346086,0.07629014,0.11992358,0.0101019805
TFEB,0.17965044,0.029625911,0.009830678,0.024187844,0.008754696,0.005157079,0.012039637
ZNF518A,0.26484337,0.27802274,0.3258386,0.2584386,0.2755189,0.60671586,0.29031116
ZBTB4,0.09614717,0.093186736,0.015372564,0.063207395,0.020401638,0.025702972,0.00681761
ZNF611,0.09659429,0.13596806,0.07271093,0.14133866,0.07275277,0.13656864,0.06506858
IRF2,0.19593355,0.1292474,0.08560309,0.111732446,0.08699591,0.075143255,0.09146161
PEG3,1.6179639,1.4819167,0.8498445,1.2732947,0.3742809,0.16246723,0.06610167
NFKBIA,0.7537638,0.6767437,0.33502007,0.6568416,0.2551675,0.19553216,0.15102018
FOXM1,0.07928844,0.056564394,0.15337968,0.011826302,0.004180327,0.006161286,0.0018738916
MYBL2,0.12621914,0.09811611,0.20811144,0.009100151,0.008463699,0.0,0.0012040283
ARNTL,0.06579358,0.06490925,0.006072911,0.02483057,0.010294994,0.015229634,0.010010139
ZNF124,0.04527753,0.040984485,0.05197821,0.029059688,0.036756758,0.045241725,0.0468541
ZNF407,0.067225635,0.055688247,0.061598327,0.047823895,0.041749742,0.10692384,0.0259754
GATA6,0.004750974,0.014604311,0.020045327,0.012650169,0.0130261015,0.047014263,0.03962996
PPARA,0.049597926,0.060174067,0.059420735,0.10022567,0.078399174,0.079177484,0.03704836
MYCL,0.1560253,0.102442056,0.11946218,0.11443133,0.16306211,0.33012757,0.32019737
TOX,0.009049964,0.0026241832,0.0015561017,0.0010417384,0.0003358113,0.0,0.0002857986
MYCN,0.36419633,0.5138944,0.55191207,0.43925214,0.6480235,1.1260648,0.67148376
NFIB,0.1000278,0.06391658,0.027695725,0.027620362,0.008336467,0.016340824,0.0042160773
